2292.73;2.09;534.16;533.48;2.65;11.38;412.52;4.43;4420.83;1823664.66
2300.65;2.08;534.55;533.82;2.64;11.37;409.54;5.75;5739.14;2350398.13
2306.42;2.08;534.80;534.10;2.64;11.38;409.54;5.75;5739.14;2350398.13
2312.18;2.09;535.08;534.38;2.64;11.37;409.54;5.75;5739.14;2350398.13
2317.95;2.09;535.50;534.83;2.64;11.37;409.54;5.75;5739.14;2350398.13
2323.71;2.06;535.85;535.13;2.64;11.38;409.54;5.75;5739.14;2350398.13
2329.48;2.10;536.18;535.50;2.63;11.37;409.54;5.75;5739.14;2350398.13
2335.24;2.10;536.49;535.82;2.63;11.37;409.54;5.75;5739.14;2350398.13
2341.01;2.11;537.04;536.34;2.64;11.37;409.54;5.75;5739.14;2350398.13
2346.77;2.10;537.28;536.59;3.01;12.08;409.54;5.75;5739.14;2350398.13
2352.54;2.01;537.80;537.13;2.93;11.94;409.54;5.75;5739.14;2350398.13
2358.30;2.07;538.01;537.36;3.00;12.07;409.54;5.75;5739.14;2350398.13
2364.07;2.02;538.34;537.63;3.13;12.31;409.54;5.75;5739.14;2350398.13
2369.83;2.04;538.58;537.85;3.17;12.40;409.54;5.75;5739.14;2350398.13
2375.60;1.98;538.72;538.03;3.15;12.36;409.54;5.75;5739.14;2350398.13
2381.36;2.04;539.02;538.32;3.13;12.33;409.54;5.75;5739.14;2350398.13
2387.12;1.99;539.19;538.50;3.15;12.36;409.54;5.75;5739.14;2350398.13
2392.89;1.96;539.50;538.84;3.13;12.32;409.54;5.75;5739.14;2350398.13
2398.65;2.03;539.63;538.96;3.12;12.30;409.54;5.75;5739.14;2350398.13
2404.42;1.99;539.86;539.18;3.14;12.34;409.54;5.75;5739.14;2350398.13
2410.18;2.06;540.03;539.32;3.13;12.33;409.54;5.75;5739.14;2350398.13
2415.95;1.96;540.36;539.67;3.50;13.02;409.54;5.75;5739.14;2350398.13
2421.71;2.01;540.46;539.81;3.56;13.16;409.54;5.75;5739.14;2350398.13
2427.48;2.01;540.65;539.91;3.56;13.17;409.54;5.75;5739.14;2350398.13
2433.24;2.08;540.69;540.00;3.59;13.21;409.54;5.75;5739.14;2350398.13
2432.68;1.98;540.92;540.29;3.53;13.10;416.82;6.09;6085.03;2536359.92
2431.14;1.98;541.09;540.47;3.64;13.31;416.82;6.09;6085.03;2536359.92
2429.60;2.00;541.45;540.77;3.53;13.11;416.82;6.09;6085.03;2536359.92
2428.06;2.03;541.64;540.96;3.51;13.07;416.82;6.09;6085.03;2536359.92
2426.52;2.04;541.78;541.08;3.47;12.99;416.82;6.09;6085.03;2536359.92
2424.98;2.02;542.07;541.43;3.49;13.03;416.82;6.09;6085.03;2536359.92
2423.44;1.97;542.40;541.70;3.27;12.60;416.82;6.09;6085.03;2536359.92
2421.90;2.09;542.67;542.03;3.27;12.60;416.82;6.09;6085.03;2536359.92
2420.36;1.94;543.09;542.45;3.27;12.61;416.82;6.09;6085.03;2536359.92
2418.82;2.06;543.58;542.90;3.23;12.53;416.82;6.09;6085.03;2536359.92
2417.28;2.05;543.51;542.82;3.26;12.58;416.82;6.09;6085.03;2536359.92
2415.75;2.08;543.54;542.82;3.27;12.60;416.82;6.09;6085.03;2536359.92
2414.21;2.02;543.73;543.08;3.26;12.59;416.82;6.09;6085.03;2536359.92
2412.67;1.97;543.88;543.24;3.24;12.54;416.82;6.09;6085.03;2536359.92
2411.13;2.02;544.16;543.44;3.27;12.60;416.82;6.09;6085.03;2536359.92
2409.59;2.15;544.29;543.58;3.24;12.55;416.82;6.09;6085.03;2536359.92
2408.05;2.06;544.58;543.90;3.24;12.55;416.82;6.09;6085.03;2536359.92
2406.51;2.15;544.70;544.04;3.26;12.57;416.82;6.09;6085.03;2536359.92
2404.97;2.07;544.95;544.29;3.27;12.59;416.82;6.09;6085.03;2536359.92
2403.43;2.03;545.28;544.60;3.26;12.58;416.82;6.09;6085.03;2536359.92
2401.89;2.05;545.33;544.65;3.28;12.61;416.82;6.09;6085.03;2536359.92
2400.35;2.01;545.57;544.88;3.28;12.62;416.82;6.09;6085.03;2536359.92
2398.81;1.98;545.73;545.00;3.26;12.58;416.82;6.09;6085.03;2536359.92
2397.27;2.07;545.86;545.24;3.27;12.59;416.82;6.09;6085.03;2536359.92
2397.11;1.98;545.99;545.31;3.26;12.58;416.80;6.00;5992.67;2497758.14
2397.17;2.03;546.18;545.54;3.29;12.63;416.80;6.00;5992.67;2497758.14
2397.22;1.99;546.48;545.87;3.27;12.60;416.80;6.00;5992.67;2497758.14
2397.28;2.03;546.70;546.01;3.28;12.61;416.80;6.00;5992.67;2497758.14
2397.33;1.97;546.92;546.26;3.28;12.61;416.80;6.00;5992.67;2497758.14
2397.38;2.04;547.43;546.82;3.28;12.63;416.80;6.00;5992.67;2497758.14
2397.44;1.91;547.33;546.65;3.28;12.61;416.80;6.00;5992.67;2497758.14
2397.49;1.95;547.73;547.08;3.29;12.63;416.80;6.00;5992.67;2497758.14
2397.55;1.99;548.22;547.51;3.26;12.58;416.80;6.00;5992.67;2497758.14
2397.60;2.03;548.52;547.86;3.27;12.60;416.80;6.00;5992.67;2497758.14
2397.65;2.07;548.73;547.96;3.28;12.61;416.80;6.00;5992.67;2497758.14
2397.71;1.99;548.70;547.98;3.29;12.63;416.80;6.00;5992.67;2497758.14
2397.76;2.05;548.86;548.16;3.29;12.63;416.80;6.00;5992.67;2497758.14
2397.82;2.04;549.07;548.36;3.28;12.61;416.80;6.00;5992.67;2497758.14
2397.87;1.92;549.27;548.60;3.29;12.62;416.80;6.00;5992.67;2497758.14
2397.93;2.04;549.56;548.86;3.28;12.61;416.80;6.00;5992.67;2497758.14
2397.98;1.97;549.61;548.97;3.30;12.64;416.80;6.00;5992.67;2497758.14
2398.03;2.02;549.86;549.23;3.30;12.65;416.80;6.00;5992.67;2497758.14
