? 3-RJS-745 Qi AI MIQ inter (l/h);? 3-RJS-745 PI Delta P inferior (kgf/cm²);? 3-RJS-745 PI Delta P intermediário (kgf/cm²);? 3-RJS-745 PI Delta P superior (kgf/cm²);? 3-RJS-745 Qo estimado ICV sup (m³/d);? 3-RJS-745 Qo estimado ICV int (m³/d);? 3-RJS-745 Qw (m³/d);? 3-RJS-745 Qg (m³/d)
9,474;0,039;0,673;0,989;904,691;1.809,38;8,123;1.458.172,99
9,423;0,037;0,671;0,971;913,417;1.826,83;8,123;1.458.172,99
9,449;0,036;0,674;0,982;922,143;1.844,29;8,123;1.458.172,99
9,302;0,04;0,672;1,026;930,869;1.861,74;8,123;1.458.172,99
9,476;0,048;0,671;0,978;939,596;1.879,19;8,123;1.458.172,99
9,414;0,038;0,67;0,964;948,322;1.896,64;8,123;1.458.172,99
9,475;0,038;0,671;0,97;957,048;1.914,10;8,123;1.458.172,99
9,35;0,039;0,673;0,972;965,774;1.931,55;8,123;1.458.172,99
9,37;0,038;0,681;0,955;974,5;1.949,00;8,123;1.458.172,99
9,388;0,037;0,671;0,968;983,227;1.966,45;8,123;1.458.172,99
9,259;0,042;0,671;0,962;991,953;1.983,91;8,123;1.458.172,99
9,092;0,039;0,67;0,981;1.000,68;2.001,36;8,123;1.458.172,99
9,045;0,043;0,67;0,995;1.009,41;2.018,81;8,123;1.458.172,99
9,059;0,04;0,671;0,973;1.018,13;2.036,26;8,123;1.458.172,99
9,11;0,038;0,619;0,879;1.026,86;2.053,72;8,123;1.458.172,99
9,111;0,037;0,614;0,898;1.035,58;2.071,17;8,123;1.458.172,99
9,125;0,036;0,617;0,867;1.044,31;2.088,62;8,123;1.458.172,99
9,192;0,044;0,811;1,262;1.053,04;2.106,07;8,123;1.458.172,99
9,283;0,046;0,835;1,251;1.061,76;2.123,53;8,123;1.458.172,99
9,132;0,047;0,838;1,252;1.070,49;2.140,98;8,123;1.458.172,99
9,18;0,045;0,839;1,252;1.079,22;2.158,43;8,123;1.458.172,99
9,167;0,048;0,841;1,243;1.087,94;2.175,88;8,123;1.458.172,99
9,141;0,047;0,838;1,234;1.090,14;2.180,27;10,054;1.785.899,30
9,287;0,047;0,836;1,242;1.089,94;2.179,87;10,054;1.785.899,30
9,204;0,046;0,84;1,249;1.089,74;2.179,48;10,054;1.785.899,30
9,086;0,047;0,839;1,262;1.089,54;2.179,08;10,054;1.785.899,30
9,172;0,045;0,847;1,239;1.089,34;2.178,68;10,054;1.785.899,30
9,135;0,048;0,847;1,26;1.089,14;2.178,28;10,054;1.785.899,30
9,119;0,046;0,844;1,243;1.088,94;2.177,88;10,054;1.785.899,30
9,168;0,047;0,845;1,254;1.088,74;2.177,48;10,054;1.785.899,30
9,129;0,045;0,843;1,251;1.088,54;2.177,08;10,054;1.785.899,30
9,108;0,046;0,841;1,248;1.088,34;2.176,68;10,054;1.785.899,30
9,254;0,047;0,841;1,246;1.088,14;2.176,28;10,054;1.785.899,30
9,325;0,044;0,841;1,25;1.087,94;2.175,88;10,054;1.785.899,30
9,242;0,046;0,841;1,246;1.087,74;2.175,48;10,054;1.785.899,30
9,289;0,046;0,841;1,248;1.087,54;2.175,08;10,054;1.785.899,30
9,248;0,046;0,841;1,251;1.087,34;2.174,68;10,054;1.785.899,30
9,225;0,046;0,841;1,251;1.087,14;2.174,29;10,054;1.785.899,30
9,136;0,045;0,84;1,253;1.086,94;2.173,89;10,054;1.785.899,30
9,18;0,044;0,842;1,257;1.086,74;2.173,49;10,054;1.785.899,30
9,141;0,046;0,84;1,251;1.086,54;2.173,09;10,054;1.785.899,30
9,202;0,044;0,841;1,258;1.086,34;2.172,69;10,054;1.785.899,30
9,184;0,046;0,84;1,254;1.086,15;2.172,29;10,054;1.785.899,30
9,23;0,046;0,844;1,249;1.085,95;2.171,89;10,054;1.785.899,30
9,228;0,045;0,843;1,249;1.085,75;2.171,49;10,054;1.785.899,30
9,212;0,046;0,839;1,25;1.085,55;2.171,09;10,054;1.785.899,30
9,23;0,046;0,844;1,254;1.085,24;2.170,48;10,01;1.766.624,35
9,262;0,046;0,841;1,248;1.084,90;2.169,79;10,01;1.766.624,35
9,229;0,046;0,846;1,254;1.084,55;2.169,10;10,01;1.766.624,35
9,257;0,047;0,84;1,248;1.084,21;2.168,41;10,01;1.766.624,35
9,27;0,044;0,841;1,249;1.083,86;2.167,73;10,01;1.766.624,35
9,19;0,045;0,84;1,246;1.083,52;2.167,04;10,01;1.766.624,35
9,203;0,044;0,838;1,244;1.083,17;2.166,35;10,01;1.766.624,35
9,232;0,045;0,836;1,246;1.082,83;2.165,66;10,01;1.766.624,35
9,179;0,047;0,84;1,245;1.082,49;2.164,97;10,01;1.766.624,35
9,239;0,044;0,841;1,246;1.082,14;2.164,28;10,01;1.766.624,35
9,228;0,044;0,84;1,241;1.081,80;2.163,59;10,01;1.766.624,35
9,204;0,046;0,84;1,246;1.081,45;2.162,90;10,01;1.766.624,35
9,187;0,048;0,839;1,25;1.081,11;2.162,21;10,01;1.766.624,35
9,23;0,045;0,838;1,24;1.080,76;2.161,53;10,01;1.766.624,35
9,193;0,046;0,838;1,24;1.080,42;2.160,84;10,01;1.766.624,35
9,186;0,045;0,839;1,247;1.080,07;2.160,15;10,01;1.766.624,35
9,136;0,046;0,84;1,245;1.079,73;2.159,46;10,01;1.766.624,35
9,217;0,045;0,839;1,247;1.079,39;2.158,77;10,01;1.766.624,35
9,224;0,044;0,838;1,243;1.079,04;2.158,08;10,01;1.766.624,35
9,209;0,045;0,843;1,224;1.078,70;2.157,39;10,01;1.766.624,35
9,179;0,046;0,837;1,245;1.078,35;2.156,70;10,01;1.766.624,35
9,254;0,045;0,838;1,243;1.078,01;2.156,01;10,01;1.766.624,35
9,165;0,045;0,838;1,244;1.077,66;2.155,33;10,01;1.766.624,35
9,189;0,043;0,838;1,246;1.077,32;2.154,64;10,01;1.766.624,35
9,175;0,046;0,834;1,237;1.083,29;2.166,58;9,933;1.757.305,02
9,213;0,045;0,833;1,245;1.091,58;2.183,16;9,933;1.757.305,02
9,146;0,044;0,833;1,242;1.099,87;2.199,73;9,933;1.757.305,02
9,229;0,045;0,836;1,238;1.108,15;2.216,31;9,933;1.757.305,02
9,221;0,046;0,833;1,248;1.116,44;2.232,89;9,933;1.757.305,02
9,212;0,046;0,835;1,236;1.124,73;2.249,46;9,933;1.757.305,02
9,207;0,044;0,835;1,233;1.133,02;2.266,04;9,933;1.757.305,02
9,29;0,044;0,835;1,237;1.141,31;2.282,61;9,933;1.757.305,02
9,236;0,045;0,835;1,241;1.149,60;2.299,19;9,933;1.757.305,02
9,276;0,045;0,835;1,247;1.157,88;2.315,77;9,933;1.757.305,02
9,273;0,045;0,832;1,242;1.166,17;2.332,34;9,933;1.757.305,02
9,219;0,045;0,838;1,245;1.174,46;2.348,92;9,933;1.757.305,02
9,303;0,047;0,836;1,234;1.182,75;2.365,49;9,933;1.757.305,02
9,244;0,046;0,837;1,241;1.191,04;2.382,07;9,933;1.757.305,02
9,238;0,046;0,841;1,24;1.199,32;2.398,65;9,933;1.757.305,02
9,036;0,045;0,838;1,253;1.207,61;2.415,22;9,933;1.757.305,02
9,049;0,043;0,84;1,257;1.215,90;2.431,80;9,933;1.757.305,02
9,128;0,046;0,844;1,256;1.224,19;2.448,38;9,933;1.757.305,02
9,088;0,045;0,843;1,248;1.232,48;2.464,95;9,933;1.757.305,02
9,225;0,045;0,842;1,25;1.240,76;2.481,53;9,933;1.757.305,02
9,077;0,046;0,84;1,254;1.249,05;2.498,10;9,933;1.757.305,02
9,164;0,047;0,838;1,25;1.257,34;2.514,68;9,933;1.757.305,02
9,202;0,045;0,842;1,247;1.265,63;2.531,26;9,933;1.757.305,02
9,162;0,046;0,844;1,246;1.273,92;2.547,83;9,933;1.757.305,02
9,264;0,045;0,841;1,246;1.276,14;2.552,28;11,768;2.082.640,56
9,167;0,047;0,841;1,258;1.276,14;2.552,28;11,768;2.082.640,56
9,201;0,045;0,844;1,25;1.276,14;2.552,28;11,768;2.082.640,56
9,013;0,047;0,841;1,26;1.276,14;2.552,28;11,768;2.082.640,56
9,291;0,046;0,843;1,226;1.276,14;2.552,28;11,768;2.082.640,56
9,282;0,04;0,841;1,252;1.276,14;2.552,28;11,768;2.082.640,56
9,125;0,044;0,837;1,259;1.276,14;2.552,28;11,768;2.082.640,56
9,036;0,041;0,838;1,246;1.276,14;2.552,28;11,768;2.082.640,56
9,16;0,043;0,834;1,255;1.276,14;2.552,28;11,768;2.082.640,56
9,231;0,044;0,831;1,246;1.276,14;2.552,28;11,768;2.082.640,56
9,228;0,047;0,833;1,231;1.276,14;2.552,28;11,768;2.082.640,56
9,016;0,047;0,837;1,245;1.276,14;2.552,28;11,768;2.082.640,56
9,178;0,045;0,839;1,278;1.276,14;2.552,28;11,768;2.082.640,56
9,302;0,051;0,829;1,217;1.276,14;2.552,28;11,768;2.082.640,56
9,028;0,044;0,836;1,238;1.276,14;2.552,28;11,768;2.082.640,56
9,174;0,044;0,84;1,236;1.276,14;2.552,28;11,768;2.082.640,56
9,333;0,044;0,834;1,224;1.276,14;2.552,28;11,768;2.082.640,56
9,309;0,045;0,838;1,223;1.276,14;2.552,28;11,768;2.082.640,56
9,24;0,042;0,834;1,241;1.276,14;2.552,28;11,768;2.082.640,56
7,819;0,047;0,837;1,243;1.276,14;2.552,28;11,768;2.082.640,56
7,709;0,045;0,84;1,24;1.276,14;2.552,28;11,768;2.082.640,56
7,94;0,051;0,831;1,222;1.276,14;2.552,28;11,768;2.082.640,56
7,883;0,044;0,837;1,231;1.276,14;2.552,28;11,768;2.082.640,56
7,695;0,041;0,839;1,226;1.276,14;2.552,28;11,768;2.082.640,56
7,531;0,045;0,833;1,226;;;;
7,465;0,048;0,826;1,261;;;;
7,655;0,046;0,834;1,242;;;;
7,695;0,043;0,836;1,245;;;;
7,47;0,045;0,841;1,254;;;;
7,461;0,046;0,837;1,239;;;;
7,584;0,046;0,832;1,241;;;;
7,614;0,045;0,835;1,243;;;;
7,535;0,046;0,832;1,237;;;;
7,56;0,045;0,832;1,219;;;;
7,575;0,046;0,833;1,237;;;;
7,541;0,045;0,837;1,239;;;;
7,728;0,043;0,834;1,225;;;;
7,609;0,048;0,839;1,228;;;;
7,478;0,045;0,837;1,235;;;;
